number,z,log(1+z),logM*,log(sSFR/sSFR(MS)),"kpc/""",R1/2,del-R1/2,vrot,del-vrot,sigma-intrinsic,del-s,vrot/sintr,del-vrot/sintr,B/T,n(Sersic),M_bulge,Mmol-gas,Mbaryon,log(S* (R1/2)),log(S* (1kpc)),logSgas,fgas,logMgas/M*,SFRbest,sSFR,(V-J)rf,(U-V)rf,,type,logSSFR ,
,,,,Whitaker 14,,(kpc),(kpc),(km/s),(km/s),(km/s),(km/s),,,,,Msun,Msun,Msun,Msun kpc^-2,Msun kpc^-2,Msun/kpc^2,(baryonic),,Msun/yr,Gyr^-1,,,,,(Msun/yr/kpc^2),
52,0.949,0.290,10.17,0.20,7.91,5.70,0.86,112,12,27,14,4.2,2.2,0.084,1.26,1.2E+09,1.15E+10,2.63E+10,7.86,8.633,7.75,0.44,-0.110,19.3,1.31,0.822,0.951,1.413,b-SFG,-1.024,52
53,0.950,0.290,10.74,0.55,7.92,5.94,0.89,148,4,40,20,3.7,1.9,0,0.435,0.0E+00,3.74E+10,9.24E+10,8.39,9.04,8.23,0.41,-0.167,69.6,1.27,1.454,1.461,1.970,r-SFG,-0.504,53
54,0.893,0.277,9.82,0.32,7.78,4.99,0.75,204,5,22,10,9.2,4.1,-99,0.619,-1.0E+03,6.93E+09,1.35E+10,7.63,,7.65,0.51,0.021,13.5,2.04,0.775,0.786,1.372,b-SFG,-1.065,54
55,0.952,0.290,10.1,-0.02,7.92,3.15,0.47,111,6,21,10,5.3,2.6,0,0.929,0.0E+00,7.72E+09,2.03E+10,8.30,8.641,8.09,0.38,-0.212,10.5,0.83,0.706,0.994,1.311,b-SFG,-0.774,55
56,0.894,0.277,10.17,-0.07,7.78,8.06,1.21,116,10,36,24,3.2,2.1,0.382,3.549,5.7E+09,7.69E+09,2.25E+10,7.56,9.106,7.27,0.34,-0.284,9.8,0.66,0.965,1.146,1.539,b-SFG,-1.620,56
57,0.892,0.277,10.03,0.24,7.78,10.23,1.53,227,8,33,7,6.9,1.5,0,0.75,0.0E+00,9.13E+09,1.98E+10,7.21,7.909,7.14,0.46,-0.070,16.3,1.52,1.590,1.205,2.089,b-SFG,-1.606,57
58,0.901,0.279,10.1,-0.21,7.80,2.99,0.45,188,20,19,7,9.7,3.7,0.127,1.174,1.6E+09,5.78E+09,1.84E+10,8.35,9.018,8.01,0.31,-0.338,6.5,0.51,1.223,1.356,1.766,r-SFG,-0.937,58
59,0.900,0.279,10.31,0.36,7.80,3.78,0.57,108,6,35,20,3.1,1.8,0.239,1.048,4.9E+09,1.67E+10,3.71E+10,8.36,8.907,8.27,0.45,-0.087,31.8,1.56,0.851,0.985,1.439,b-SFG,-0.451,59
60,0.852,0.268,10.83,0.16,7.68,7.75,1.16,295,7,31,7,9.4,2.1,0.393,3.278,2.7E+10,2.18E+10,8.94E+10,8.25,9.63,7.76,0.24,-0.491,25.2,0.37,1.149,1.283,1.701,b-SFG,-1.175,60
61,1.029,0.307,10.07,0.10,8.07,3.32,0.50,171,18,41,20,4.2,2.1,0.132,0.554,1.6E+09,9.27E+09,2.10E+10,8.23,8.79,8.13,0.44,-0.103,14.6,1.24,0.915,1.063,1.395,b-SFG,-0.675,61
62,0.890,0.277,9.84,0.26,7.78,4.90,0.73,121,23,62,40,2.0,1.3,-99,1.271,-1.0E+03,6.65E+09,1.36E+10,7.66,,7.64,0.49,-0.017,12.2,1.76,0.896,0.767,1.478,b-SFG,-1.093,62
63,0.914,0.282,10.32,-0.16,7.83,8.42,1.26,127,8,35,17,3.7,1.8,0.103,1.238,2.2E+09,8.76E+09,2.97E+10,7.67,8.725,7.29,0.30,-0.378,9.8,0.47,0.920,1.118,1.500,b-SFG,-1.657,63
