number,z,log(1+z),logM*,log(sSFR/sSFR(MS)),"kpc/""",R1/2,del-R1/2,vrot,del-vrot,sigma-intrinsic,del-s,vrot/sintr,del-vrot/sintr,B/T,n(Sersic),M_bulge,Mmol-gas,Mbaryon,log(S* (R1/2)),log(S* (1kpc)),logSgas,fgas,logMgas/M*,SFRbest,sSFR,(V-J)rf,(U-V)rf,,type,logSSFR ,
,,,,Whitaker 14,,(kpc),(kpc),(km/s),(km/s),(km/s),(km/s),,,,,Msun,Msun,Msun,Msun kpc^-2,Msun kpc^-2,Msun/kpc^2,(baryonic),,Msun/yr,Gyr^-1,,,,,(Msun/yr/kpc^2),
126,2.297,0.518,10.24,-0.35,8.20,3.52,0.53,211,13,49,10,4.3,0.9,0,0.672,0.0E+00,1.54E+10,3.28E+10,8.35,9.005,8.30,0.47,-0.052,21.4,1.23,0.996,0.809,1.466,b-SFG,-0.561,126
127,2.151,0.498,10.02,-0.12,8.29,3.39,0.51,73,14,62,7,1.2,0.3,-99,0.749,-1.0E+03,1.21E+10,2.26E+10,8.16,,8.23,0.54,0.064,20.0,1.91,0.508,0.415,1.037,b-SFG,-0.558,127
128,2.391,0.530,10.34,-0.13,8.14,2.71,0.41,261,16,37,7,7.1,1.4,0.163,0.902,3.6E+09,2.66E+10,4.85E+10,8.68,8.971,8.76,0.55,0.085,48.2,2.20,1.060,0.902,1.523,b-SFG,0.019,128
129,2.029,0.481,10.34,-0.07,8.35,4.03,0.60,217,8,53,20,4.1,1.6,0.077,0.475,1.7E+09,2.41E+10,4.59E+10,8.33,8.151,8.37,0.52,0.041,41.1,1.88,0.892,0.664,1.375,b-SFG,-0.394,129
130,2.178,0.502,11.05,0.34,8.27,3.29,0.49,350,17,58,24,6.0,2.5,0,0.448,0.0E+00,1.38E+11,2.51E+11,9.22,9.571,9.31,0.55,0.091,299.4,2.67,1.442,1.059,1.859,b-SFG,0.643,130
131,2.321,0.521,11.06,0.19,8.19,2.98,0.45,280,28,64,35,4.4,2.4,0.249,4.029,2.9E+10,1.28E+11,2.43E+11,9.31,,9.36,0.53,0.048,253.1,2.20,1.301,1.342,1.735,r-SFG,0.657,131
132,2.215,0.507,10.54,-0.28,8.25,3.85,0.58,213,21,75,15,2.9,0.6,0,0.644,0.0E+00,2.90E+10,6.37E+10,8.57,9.294,8.49,0.46,-0.077,41.2,1.19,1.365,1.248,1.791,b-SFG,-0.355,132
133,2.191,0.504,11.46,-0.11,8.26,6.93,1.04,236,19,55,36,4.3,2.8,0.778,3.031,2.2E+11,1.73E+11,4.62E+11,8.98,9.827,8.76,0.38,-0.221,232.8,0.81,1.583,1.831,1.983,r-SFG,-0.112,133
134,2.189,0.504,10.6,-0.14,8.27,2.69,0.40,167,14,45,18,3.7,1.5,0.118,1.048,4.7E+09,3.80E+10,7.78E+10,8.94,9.489,8.92,0.49,-0.020,60.8,1.53,1.197,1.049,1.643,b-SFG,0.125,134
135,2.147,0.498,10.2,0.04,8.29,4.13,0.62,110,30,75,30,1.5,0.7,0.332,3.513,5.3E+09,2.19E+10,3.77E+10,8.17,8.809,8.31,0.58,0.140,42.9,2.71,0.917,0.773,1.397,b-SFG,-0.397,135
136,2.380,0.529,10.73,0.87,8.15,5.08,0.76,183,30,95,62,1.9,1.3,0.316,3.309,1.7E+10,1.88E+11,2.41E+11,8.52,9.655,9.06,0.78,0.543,845.9,15.75,1.380,0.986,1.804,b-SFG,0.718,136
137,2.224,0.508,10.25,-0.43,8.25,3.30,0.49,185,7,34,7,5.5,1.2,0.333,1.13,5.9E+09,1.38E+10,3.16E+10,8.42,9.388,8.31,0.44,-0.110,17.4,0.98,1.076,0.799,1.537,b-SFG,-0.595,137
138,2.467,0.540,10.77,-0.23,8.09,3.12,0.47,230,24,54,30,4.3,2.4,0.091,0.638,5.4E+09,5.09E+10,1.10E+11,8.98,9.738,8.92,0.46,-0.064,76.8,1.30,1.416,1.187,1.836,b-SFG,0.098,138
139,2.122,0.494,10.55,0.95,8.30,3.83,0.57,434,20,86,15,5.0,0.9,0.006,0.259,2.1E+08,1.37E+11,1.73E+11,8.59,9.543,9.17,0.79,0.587,653.4,18.42,1.848,0.965,2.216,b-SFG,0.851,139
140,2.583,0.554,10.48,-0.17,8.01,3.32,0.50,88,24,55,40,1.6,1.2,-99,1.549,-1.0E+03,3.62E+10,6.64E+10,8.64,,8.72,0.55,0.079,66.5,2.20,0.436,0.786,0.974,b-SFG,-0.018,140
141,2.307,0.519,10.48,0.03,8.19,3.41,0.51,136,11,46,12,2.9,0.8,0.005,1.03,1.5E+08,4.12E+10,7.14E+10,8.62,9.032,8.75,0.58,0.134,84.3,2.79,0.610,0.821,1.127,b-SFG,0.062,141
142,2.043,0.483,10.75,0.16,8.34,4.71,0.71,252,8,46,20,5.5,2.4,0,0.682,0.0E+00,6.33E+10,1.19E+11,8.60,9.548,8.66,0.53,0.051,120.6,2.15,1.071,1.247,1.532,b-SFG,-0.064,142
143,0.921,0.284,10.61,-0.47,7.85,1.59,0.24,258,15,20,13,12.9,8.4,0.387,3.772,1.6E+10,8.39E+09,4.91E+10,9.41,9.731,8.73,0.17,-0.686,5.9,0.15,1.550,2.050,2.054,r-SFG,-0.425,143
144,0.645,0.216,10.42,0.03,6.92,2.56,0.38,272,20,49,15,5.6,1.8,0.215,1.593,5.7E+09,8.81E+09,3.51E+10,8.80,9.575,8.33,0.25,-0.475,10.8,0.41,2.269,1.772,2.687,r-SFG,-0.581,144
145,0.831,0.263,10.37,0.22,7.62,5.15,0.77,279,9,28,10,9.8,3.5,0.112,1.465,2.6E+09,1.38E+10,3.73E+10,8.15,9.221,7.92,0.37,-0.230,21.9,0.93,1.978,1.520,2.431,r-SFG,-0.881,145
146,0.953,0.291,9.91,0.13,7.92,4.14,0.62,221,10,52,18,4.2,1.5,-99,1.059,-1.0E+03,6.72E+09,1.48E+10,7.88,,7.79,0.45,-0.083,10.8,1.33,0.699,0.809,1.305,b-SFG,-0.999,146
147,0.777,0.250,10.35,0.47,7.44,2.87,0.43,177,11,52,35,3.4,2.3,0.15,1.169,3.4E+09,1.73E+10,3.97E+10,8.64,9.345,8.52,0.44,-0.113,35.1,1.57,1.384,1.318,1.908,r-SFG,-0.168,147
148,0.880,0.274,10.7,0.38,7.75,2.53,0.38,345,22,59,25,5.9,2.5,0.81,3.427,4.1E+10,2.60E+10,7.61E+10,9.09,9.86,8.81,0.34,-0.286,40.5,0.81,1.373,1.480,1.898,r-SFG,0.001,148
149,0.879,0.274,9.82,0.15,7.75,5.37,0.81,83,5,20,10,4.2,2.1,-99,2.301,-1.0E+03,5.45E+09,1.21E+10,7.56,,7.48,0.45,-0.084,8.8,1.34,0.449,0.619,1.085,b-SFG,-1.311,149
150,1.419,0.384,10.5,-0.07,8.44,3.64,0.55,202,8,63,41,3.2,2.1,0,0.767,0.0E+00,2.08E+10,5.24E+10,8.58,9.356,8.40,0.40,-0.183,27.6,0.87,0.959,1.035,1.434,b-SFG,-0.479,150
151,1.526,0.402,10.81,0.45,8.46,7.57,1.14,297,8,37,24,8.0,5.2,0,0.359,0.0E+00,6.69E+10,1.32E+11,8.25,8.967,8.27,0.51,0.016,134.5,2.08,1.435,1.764,1.853,r-SFG,-0.427,151
152,1.518,0.401,11.07,0.72,8.46,4.38,0.66,358,10,108,50,3.3,1.5,0,1.044,0.0E+00,1.39E+11,2.57E+11,8.99,9.195,9.06,0.54,0.074,335.3,2.85,1.359,1.037,1.786,b-SFG,0.444,152
153,1.665,0.426,10.74,-0.03,8.47,6.90,1.03,239,9,44,10,5.4,1.2,0.07,1.153,3.8E+09,3.70E+10,9.20E+10,8.26,8.839,8.09,0.40,-0.171,50.2,0.91,1.265,1.374,1.703,r-SFG,-0.775,153
154,1.426,0.385,10.02,-0.30,8.44,3.44,0.52,100,15,70,35,1.4,0.7,-99,2.291,-1.0E+03,6.78E+09,1.73E+10,8.15,,7.96,0.39,-0.189,7.8,0.74,0.774,0.839,1.271,b-SFG,-0.980,154
155,1.427,0.385,10.26,0.24,8.44,2.06,0.31,115,7,62,40,1.8,1.2,0,0.678,0.0E+00,2.12E+10,3.94E+10,8.83,9.26,8.90,0.54,0.067,41.3,2.27,0.704,0.857,1.210,b-SFG,0.190,155
156,1.363,0.373,9.95,-0.08,8.41,2.72,0.41,233,56,61,18,3.8,1.4,-99,0.405,-1.0E+03,7.48E+09,1.64E+10,8.28,,8.21,0.46,-0.076,10.5,1.17,0.656,0.642,1.167,b-SFG,-0.647,156
157,1.599,0.415,10.85,-0.12,8.47,5.95,0.89,173,19,54,30,3.2,1.8,0.129,1.349,9.1E+09,3.61E+10,1.07E+11,8.50,,8.21,0.34,-0.292,41.1,0.58,0.909,1.026,1.390,b-SFG,-0.732,157
158,1.462,0.391,9.75,-0.34,8.45,2.88,0.43,153,9,83,30,1.8,0.7,-99,1.01,-1.0E+03,3.87E+09,9.49E+09,8.03,,7.87,0.41,-0.162,4.3,0.76,0.328,0.626,0.879,b-SFG,-1.088,158
159,1.365,0.374,11.18,0.43,8.42,2.04,0.31,535,13,45,15,12.0,4.1,0.469,2.249,7.1E+10,1.00E+11,2.52E+11,9.76,10.275,9.59,0.40,-0.179,166.8,1.10,1.466,1.610,1.880,r-SFG,0.806,159
160,1.534,0.404,10.19,-0.38,8.46,4.83,0.72,164,10,56,20,2.9,1.1,0,0.411,0.0E+00,9.06E+09,2.45E+10,8.02,8.336,7.79,0.37,-0.233,9.8,0.63,1.007,0.993,1.476,b-SFG,-1.175,160
161,1.551,0.407,10.84,0.38,8.47,4.52,0.68,399,14,46,20,8.6,3.7,-99,0.994,-1.0E+03,6.55E+10,1.35E+11,8.73,,8.71,0.49,-0.024,122.7,1.77,1.724,1.404,2.107,r-SFG,-0.020,161
162,1.613,0.417,10.61,0.07,8.47,4.95,0.74,267,7,55,20,4.9,1.8,0,0.569,0.0E+00,3.40E+10,7.48E+10,8.42,9.224,8.34,0.46,-0.078,53.4,1.31,1.151,1.033,1.603,b-SFG,-0.460,162
163,1.614,0.417,10.23,0.06,8.47,4.46,0.67,71,11,60,30,1.2,0.6,0,1.011,0.0E+00,1.79E+10,3.49E+10,8.13,8.952,8.16,0.51,0.024,30.6,1.80,0.522,0.950,1.049,b-SFG,-0.612,163
164,1.384,0.377,10.82,0.35,8.42,7.08,1.06,274,9,47,20,5.9,2.5,0,0.71,0.0E+00,5.23E+10,1.18E+11,8.32,9.418,8.22,0.44,-0.101,89.5,1.36,2.026,1.621,2.373,r-SFG,-0.546,164
165,1.306,0.363,10.7,-0.21,8.38,6.03,0.91,245,9,22,7,11.0,3.5,0,0.607,0.0E+00,2.00E+10,7.02E+10,8.34,8.958,7.94,0.29,-0.398,19.9,0.40,1.022,1.316,1.489,r-SFG,-1.060,165
166,1.551,0.407,11.31,0.00,8.47,7.53,1.13,298,8,60,30,5.0,2.5,0.158,2.946,3.2E+10,8.94E+10,2.94E+11,8.76,10.444,8.40,0.30,-0.359,103.7,0.51,2.049,2.057,2.393,r-SFG,-0.535,166
167,1.548,0.406,10.81,0.19,8.47,2.77,0.42,251,14,65,42,3.9,2.5,0,0.909,0.0E+00,4.90E+10,1.14E+11,9.13,9.434,9.01,0.43,-0.120,76.5,1.18,1.244,1.320,1.685,r-SFG,0.201,167
168,0.827,0.262,11.12,-0.05,7.60,5.81,0.87,255,38,29,10,8.9,3.4,0.361,2.228,4.8E+10,2.46E+10,1.56E+11,8.79,9.708,8.06,0.16,-0.729,21.1,0.16,1.973,1.963,2.426,r-SFG,-1.002,168
169,0.626,0.211,11,0.16,6.83,7.21,1.08,309,5,25,10,12.6,5.1,0.095,1.859,9.5E+09,1.89E+10,1.19E+11,8.49,9.578,7.76,0.16,-0.723,19.5,0.19,1.528,1.641,2.035,r-SFG,-1.225,169
170,0.913,0.282,10.25,0.15,7.83,3.38,0.51,145,7,25,10,5.8,2.4,0.005,0.963,8.9E+07,1.18E+10,2.96E+10,8.40,8.665,8.22,0.40,-0.178,18.5,1.04,0.861,0.810,1.448,b-SFG,-0.587,170
171,0.828,0.262,10.87,0.31,7.60,4.15,0.62,292,14,66,30,4.4,2.0,0.157,1.791,1.2E+10,2.69E+10,1.01E+11,8.84,9.646,8.40,0.27,-0.440,35.4,0.48,1.723,1.677,2.206,r-SFG,-0.486,171
172,0.602,0.205,10.85,0.14,6.71,6.16,0.92,267,7,27,10,9.8,3.6,-99,1.405,-1.0E+03,1.45E+10,8.53E+10,8.47,,7.78,0.17,-0.690,15.3,0.22,1.634,1.530,2.128,r-SFG,-1.194,172
173,0.820,0.260,10.04,0.11,7.58,3.22,0.48,170,10,37,15,4.6,1.9,0.139,1.075,1.5E+09,7.26E+09,1.82E+10,8.23,8.625,8.05,0.40,-0.179,11.2,1.02,1.450,1.383,1.966,r-SFG,-0.766,173
174,1.498,0.398,10.31,-0.25,8.46,2.95,0.44,126,12,66,47,1.9,1.4,0.226,1.509,4.6E+09,1.29E+10,3.33E+10,8.57,9.33,8.37,0.39,-0.198,15.5,0.76,0.705,0.949,1.210,b-SFG,-0.549,174
175,1.644,0.422,9.93,-0.18,8.47,3.41,0.51,172,25,69,40,2.5,1.5,-99,0.919,-1.0E+03,7.51E+09,1.60E+10,8.07,,8.01,0.47,-0.054,10.2,1.20,0.381,0.657,0.925,b-SFG,-0.854,175
176,1.656,0.424,9.9,0.59,8.47,4.01,0.60,240,7,53,25,4.5,2.1,-99,0.2,-1.0E+03,1.91E+10,2.70E+10,7.89,,8.28,0.71,0.381,56.5,7.12,0.576,0.499,1.097,b-SFG,-0.253,176
177,1.497,0.397,10.34,0.06,8.46,9.53,1.43,132,7,70,20,1.9,0.5,0.403,1.988,8.8E+09,2.02E+10,4.21E+10,7.58,8.476,7.55,0.48,-0.034,32.9,1.51,0.480,0.893,1.012,b-SFG,-1.239,177
178,1.526,0.402,11.33,0.11,8.46,5.78,0.87,465,5,67,40,6.9,4.1,0.262,2.877,5.6E+10,1.04E+11,3.18E+11,9.01,10.09,8.70,0.33,-0.312,133.6,0.62,1.635,1.807,2.029,r-SFG,-0.196,178
179,0.823,0.261,10.03,0.16,7.59,3.95,0.59,191,8,17,7,11.0,4.4,-99,1.173,-1.0E+03,7.64E+09,1.84E+10,8.04,,7.89,0.42,-0.147,12.4,1.16,1.209,1.117,1.754,b-SFG,-0.899,179
180,1.002,0.301,10.83,0.38,8.02,3.73,0.56,378,10,18,12,20.9,13.6,0.118,1.737,8.0E+09,3.59E+10,1.03E+11,8.89,9.362,8.61,0.35,-0.275,54.6,0.81,1.323,1.364,1.754,r-SFG,-0.204,180
181,2.441,0.537,10.57,0.01,8.11,5.22,0.78,315,12,39,10,8.1,2.1,0,0.2,0.0E+00,5.02E+10,8.74E+10,8.34,8.606,8.47,0.57,0.131,103.5,2.79,0.876,0.913,1.361,b-SFG,-0.219,181
182,2.227,0.509,10.51,-0.29,8.24,3.78,0.57,190,11,34,10,5.6,1.7,0.172,1.274,5.6E+09,2.74E+10,5.97E+10,8.56,9.492,8.48,0.46,-0.073,38.9,1.20,0.609,0.945,1.126,b-SFG,-0.364,182
183,2.302,0.519,10.43,0.35,8.20,2.73,0.41,234,51,68,44,3.4,2.4,0.697,3.56,1.9E+10,5.66E+10,8.35E+10,8.76,9.163,9.08,0.68,0.323,161.3,5.99,1.168,0.788,1.618,b-SFG,0.537,183
184,2.173,0.502,10.15,-0.53,8.27,6.23,0.93,55,4,29,14,1.9,0.9,0.044,0.76,6.2E+08,9.50E+09,2.36E+10,7.76,8.776,7.59,0.40,-0.172,10.5,0.74,0.525,0.852,1.052,b-SFG,-1.367,184
185,2.437,0.536,10.56,0.03,8.11,3.90,0.59,239,7,41,18,5.9,2.6,0.004,0.366,1.5E+08,5.07E+10,8.70E+10,8.58,9.114,8.72,0.58,0.145,107.2,2.95,0.911,0.843,1.392,b-SFG,0.050,185
186,2.308,0.520,10.57,-0.09,8.19,4.11,0.62,192,10,44,7,4.3,0.7,-99,1.138,-1.0E+03,4.11E+10,7.83E+10,8.54,,8.59,0.53,0.044,72.9,1.96,0.323,0.759,0.874,b-SFG,-0.164,186
187,2.305,0.519,10.62,-0.02,8.20,4.70,0.71,82,13,44,10,1.8,0.5,0.007,0.514,2.9E+08,4.87E+10,9.04E+10,8.48,8.95,8.54,0.54,0.068,91.0,2.18,0.585,0.806,1.105,b-SFG,-0.184,187
188,2.171,0.501,10.02,-0.33,8.28,2.45,0.37,214,13,52,7,4.2,0.6,0.043,0.56,4.5E+08,9.39E+09,1.99E+10,8.44,8.545,8.40,0.47,-0.048,12.6,1.20,0.344,0.724,0.893,b-SFG,-0.476,188
189,2.193,0.504,10.92,-0.13,8.26,6.98,1.05,170,9,44,10,3.8,0.9,0,0.357,0.0E+00,6.20E+10,1.45E+11,8.43,8.658,8.31,0.43,-0.127,87.6,1.05,0.826,1.250,1.317,b-SFG,-0.544,189
190,2.454,0.538,9.88,-0.07,8.10,4.60,0.80,113,10,43,10,2.7,0.7,-99,0.444,-1.0E+03,1.07E+10,1.83E+10,7.76,,7.91,0.59,0.151,20.0,2.63,0.150,0.374,0.722,b-SFG,-0.824,190
191,1.655,0.424,10.08,-0.07,8.47,2.48,0.37,129,6,59,20,2.2,0.8,0.019,0.941,2.3E+08,1.17E+10,2.37E+10,8.49,8.926,8.48,0.49,-0.013,17.8,1.48,0.305,0.520,0.858,b-SFG,-0.337,191
192,1.656,0.424,10.04,-0.16,8.47,3.38,0.51,162,12,63,41,2.6,1.7,0.208,0.691,2.3E+09,9.53E+09,2.05E+10,8.18,,8.12,0.47,-0.061,13.2,1.20,0.337,0.612,0.887,b-SFG,-0.735,192
193,1.498,0.398,10.11,-0.83,8.46,1.66,0.25,255,20,35,23,7.3,4.8,0.076,0.762,9.8E+08,4.25E+09,1.71E+10,8.87,9.229,8.39,0.25,-0.482,2.9,0.22,1.274,1.307,1.711,r-SFG,-0.777,193
194,1.500,0.398,9.83,-0.34,8.46,3.90,0.58,129,11,31,10,4.2,1.4,-99,0.758,-1.0E+03,4.61E+09,1.14E+10,7.85,,7.68,0.41,-0.166,5.1,0.76,0.321,0.661,0.872,b-SFG,-1.270,194
195,1.588,0.413,10.72,0.28,8.47,3.23,0.48,231,11,45,10,5.1,1.1,0.05,1.124,2.6E+09,5.04E+10,1.03E+11,8.90,9.459,8.89,0.49,-0.017,91.6,1.74,1.108,1.184,1.565,b-SFG,0.146,195
196,1.505,0.399,11,0.22,8.46,4.68,0.70,337,22,31,10,10.8,3.5,0.233,1.701,2.3E+10,6.44E+10,1.64E+11,8.86,10.056,8.67,0.39,-0.191,94.3,0.94,1.581,1.508,1.981,r-SFG,-0.164,196
197,0.914,0.282,10.71,0.15,7.83,5.26,0.79,243,7,30,15,8.0,4.0,0.084,1.378,4.3E+09,2.04E+10,7.16E+10,8.47,9.155,8.07,0.28,-0.401,25.2,0.49,1.429,1.289,1.948,b-SFG,-0.840,197
198,0.914,0.282,10.65,0.26,7.83,4.73,0.71,149,9,58,30,2.6,1.3,0.311,3.04,1.4E+10,2.23E+10,6.69E+10,8.50,9.489,8.20,0.33,-0.302,32.2,0.72,1.726,1.247,2.209,b-SFG,-0.640,198
199,0.906,0.280,10.92,0.01,7.81,7.11,1.07,209,10,31,14,6.6,3.0,0.452,3.201,3.8E+10,2.20E+10,1.05E+11,8.42,9.587,7.84,0.21,-0.579,21.4,0.26,1.282,1.359,1.818,r-SFG,-1.171,199
200,0.911,0.281,9.77,0.14,7.83,2.83,0.42,84,5,46,12,1.8,0.5,-99,1.801,-1.0E+03,5.09E+09,1.10E+10,8.07,,8.00,0.46,-0.063,8.2,1.40,0.672,0.712,1.281,b-SFG,-0.786,200
201,0.913,0.282,11.13,0.42,7.83,7.72,1.16,331,12,79,30,4.2,1.6,0.299,2.316,4.0E+10,5.20E+10,1.87E+11,8.56,9.837,8.14,0.28,-0.414,73.3,0.54,2.210,2.101,2.635,r-SFG,-0.709,201
202,0.912,0.281,9.73,0.60,7.83,2.63,0.39,121,9,47,7,2.6,0.4,-99,0.451,-1.0E+03,8.54E+09,1.39E+10,8.09,,8.29,0.61,0.201,22.0,4.10,1.017,0.866,1.585,b-SFG,-0.295,202
203,0.785,0.252,10.52,-0.16,7.47,5.34,0.80,233,8,31,10,7.5,2.4,0.102,1.346,3.4E+09,9.41E+09,4.25E+10,8.27,8.964,7.72,0.22,-0.546,9.3,0.28,1.432,1.328,1.950,r-SFG,-1.287,203
204,0.920,0.283,10.94,0.15,7.85,4.61,0.69,310,9,59,12,5.2,1.1,-99,1.463,-1.0E+03,2.73E+10,1.14E+11,8.81,,8.31,0.24,-0.503,30.4,0.35,1.523,1.427,2.030,r-SFG,-0.643,204
205,1.382,0.377,10.08,0.05,8.42,2.77,0.42,177,16,38,10,4.7,1.3,0.428,3.487,5.1E+09,1.15E+10,2.35E+10,8.40,9.08,8.38,0.49,-0.020,18.4,1.53,0.545,0.832,1.070,b-SFG,-0.420,205
206,1.379,0.376,10.64,0.14,8.42,1.90,0.28,318,17,71,34,4.5,2.2,0.537,4.547,2.3E+10,3.14E+10,7.50E+10,9.29,9.829,9.14,0.42,-0.143,47.3,1.08,1.292,1.542,1.727,r-SFG,0.321,206
207,1.551,0.407,9.93,-0.34,8.47,4.56,0.68,90,6,51,20,1.8,0.7,-99,4.461,-1.0E+03,5.75E+09,1.43E+10,7.81,,7.64,0.40,-0.170,6.5,0.76,0.277,0.604,0.834,b-SFG,-1.305,207
208,1.382,0.377,11,0.78,8.42,4.96,0.74,273,22,66,23,4.1,1.5,0,0.557,0.0E+00,1.18E+11,2.18E+11,8.81,8.273,8.88,0.54,0.071,290.4,2.90,2.239,1.655,2.560,r-SFG,0.274,208
209,1.550,0.407,9.93,0.03,8.47,3.33,0.50,192,9,90,40,2.1,0.9,0.103,0.2,8.8E+08,9.36E+09,1.79E+10,8.09,8.268,8.13,0.52,0.041,15.4,1.81,0.803,0.738,1.297,b-SFG,-0.655,209
210,1.624,0.419,11.18,-0.16,8.47,7.82,1.17,290,12,67,25,4.3,1.6,0.142,1.334,2.1E+10,6.06E+10,2.12E+11,8.60,9.877,8.20,0.29,-0.397,62.0,0.41,1.676,1.697,2.065,r-SFG,-0.792,210
211,1.615,0.417,11.3,0.18,8.47,5.29,0.79,415,16,55,7,7.6,1.0,0.266,2.198,5.3E+10,1.17E+11,3.17E+11,9.05,10.194,8.82,0.37,-0.231,167.1,0.84,1.803,1.886,2.177,r-SFG,-0.023,211
212,1.492,0.397,10.22,0.11,8.46,4.36,0.65,180,14,61,16,2.9,0.8,0,0.465,0.0E+00,1.73E+10,3.39E+10,8.14,8.614,8.16,0.51,0.019,30.1,1.81,1.105,1.125,1.562,b-SFG,-0.598,212
213,2.432,0.536,10.14,0.13,8.11,3.07,0.46,228,5,61,7,3.8,0.4,0.153,0.806,2.1E+09,2.44E+10,3.82E+10,8.37,8.679,8.62,0.64,0.248,57.0,4.13,0.290,0.604,0.845,b-SFG,-0.016,213
214,2.224,0.508,10.28,0.31,8.25,5.00,0.75,264,12,53,10,5.0,1.0,-99,0.2,-1.0E+03,3.81E+10,5.71E+10,8.08,,8.38,0.67,0.300,101.2,5.31,0.675,0.490,1.184,b-SFG,-0.191,214
215,2.431,0.535,10.59,0.28,8.11,2.98,0.45,259,12,53,20,4.9,1.8,0.2,1.391,7.8E+09,7.28E+10,1.12E+11,8.84,8.436,9.12,0.65,0.272,194.6,5.00,1.206,0.785,1.651,b-SFG,0.543,215
216,2.452,0.538,10.34,-0.17,8.10,2.33,0.35,226,16,46,7,4.9,0.8,0.32,1.218,7.0E+09,2.57E+10,4.76E+10,8.81,9.352,8.88,0.54,0.070,45.3,2.07,0.805,0.873,1.298,b-SFG,0.122,216
217,2.141,0.497,10.24,0.03,8.29,1.92,0.29,126,10,65,7,1.9,0.3,0.42,1.419,7.3E+09,2.35E+10,4.09E+10,8.88,8.883,9.01,0.57,0.131,45.8,2.63,0.643,0.769,1.156,b-SFG,0.298,217
218,1.467,0.392,10.68,0.02,8.45,5.49,0.82,293,15,79,25,3.7,1.2,0,0.477,0.0E+00,3.08E+10,7.87E+10,8.40,9.494,8.21,0.39,-0.191,41.9,0.88,0.945,1.292,1.422,b-SFG,-0.654,218
219,0.798,0.255,9.56,0.09,7.51,3.23,0.48,88,21,40,10,2.2,0.8,-99,1.697,-1.0E+03,2.87E+09,6.50E+09,7.74,,7.64,0.44,-0.103,4.3,1.18,0.565,0.752,1.187,b-SFG,-1.186,219
220,1.014,0.304,9.53,0.40,8.04,2.69,0.40,118,9,17,7,7.1,3.0,-99,0.89,-1.0E+03,4.79E+09,8.18E+09,7.87,,8.02,0.59,0.150,10.0,2.94,0.602,0.539,1.120,b-SFG,-0.660,220
221,0.790,0.253,9.78,0.68,7.49,3.09,0.46,121,14,44,10,2.7,0.7,-99,0.855,-1.0E+03,9.30E+09,1.53E+10,8.00,,8.19,0.61,0.188,25.7,4.27,0.836,0.743,1.426,b-SFG,-0.368,221
222,0.796,0.254,9.69,-0.61,7.51,3.59,0.54,90,22,25,10,3.7,1.7,-99,1.162,-1.0E+03,1.48E+09,6.38E+09,7.78,,7.26,0.23,-0.519,1.1,0.22,0.827,0.709,1.418,b-SFG,-1.868,222
223,0.816,0.259,9.85,-0.20,7.57,4.25,0.64,56,10,66,25,,,-99,0.503,-1.0E+03,3.49E+09,1.06E+10,7.80,,7.49,0.33,-0.308,4.0,0.56,0.936,1.085,1.514,b-SFG,-1.455,223
224,0.821,0.260,9.82,-0.08,7.58,3.55,0.53,216,35,52,20,4.1,1.7,-99,1.326,-1.0E+03,3.84E+09,1.05E+10,7.92,,7.69,0.37,-0.235,4.9,0.74,0.775,0.844,1.372,b-SFG,-1.206,224
225,2.166,0.501,11.04,0.03,8.28,3.36,0.50,397,21,67,25,5.9,2.2,1,2.644,1.1E+11,9.04E+10,2.00E+11,9.19,10.107,9.11,0.45,-0.084,142.3,1.30,1.232,1.515,1.674,r-SFG,0.302,225
226,2.321,0.521,10.18,-0.04,8.19,2.21,0.33,142,12,73,25,2.0,0.7,0,0.503,0.0E+00,2.04E+10,3.56E+10,8.69,9.36,8.82,0.57,0.130,38.9,2.57,0.671,0.584,1.180,b-SFG,0.103,226
227,2.178,0.502,11.21,0.04,8.27,6.04,0.91,376,11,53,35,7.1,4.6,0.007,0.625,1.1E+09,1.26E+11,2.88E+11,8.85,9.151,8.74,0.44,-0.110,196.1,1.21,1.609,1.664,2.006,r-SFG,-0.067,227
228,2.225,0.509,10.39,-0.14,8.24,4.62,0.69,176,18,45,20,3.9,1.8,0.02,0.471,4.9E+08,2.68E+10,5.13E+10,8.26,8.596,8.30,0.52,0.037,45.3,1.84,0.932,0.829,1.410,b-SFG,-0.471,228
229,2.184,0.503,10.82,-0.05,8.27,2.73,0.41,220,8,25,14,8.7,4.9,0.198,2.645,1.3E+10,5.84E+10,1.25E+11,9.15,,9.10,0.47,-0.053,92.4,1.40,1.675,1.523,2.064,r-SFG,0.296,229
230,2.159,0.500,10.11,-0.32,8.28,2.80,0.42,130,12,37,10,3.5,1.0,0.042,0.874,5.4E+08,1.14E+10,2.43E+10,8.42,8.721,8.37,0.47,-0.052,15.5,1.20,0.864,0.708,1.350,b-SFG,-0.502,230
231,2.182,0.503,11.32,-0.11,8.27,3.35,0.50,265,10,58,25,4.5,1.9,0.168,2.209,3.5E+10,1.30E+11,3.39E+11,9.47,10.095,9.26,0.38,-0.207,173.1,0.83,1.472,1.429,1.885,r-SFG,0.390,231
232,2.217,0.507,11.2,-0.06,8.25,4.19,0.63,155,19,55,26,2.8,1.4,0.246,1.776,3.9E+10,1.12E+11,2.71E+11,9.16,9.868,9.01,0.41,-0.149,161.6,1.02,1.787,1.727,2.163,r-SFG,0.166,232
